"filename","_col1"
"20230822_19_408.zip-382246H0.811","39"
"20230823_08_408.zip-382345H0.805","16"
"20230822_01_408.zip-382136H0.805","18"
"20230811_08_408.zip-381199H0.815","459"
"20230811_15_408.zip-381177H0.802","702"
"20230822_10_408.zip-382208H0.813","12"
"20230811_09_408.zip-381119H0.811","844"
"20230822_08_408.zip-382244H0.811","39"
"20230821_17_408.zip-382195H0.813","12"
"20230810_14_408.zip-381087H0.815","1015"
"20230824_01_408.zip-382357H0.805","16"
"20230820_16_408.zip-382078H0.813","13"
"20230823_23_408.zip-382341H0.807","38"
"20230815_18_408.zip-381560H0.813","336"
"20230815_05_408.zip-381557H0.813","9601"
"20230817_11_408.zip-381743H0.812","4253"
"20230814_21_408.zip-381444H0.801","680"
"20230813_15_408.zip-381381H0.802","201"
"20230814_21_408.zip-381443H0.801","711"
"20230817_07_408.zip-381791H0.802","411"
"20230814_08_408.zip-381468H0.804","464"
"20230813_08_408.zip-381329H0.801","2662"
"20230812_22_408.zip-381247H0.804","541"
"20230818_12_408.zip-381831H0.804","85"
"20230812_16_408.zip-381225H0.815","2455"
"20230815_09_408.zip-381585H0.804","671"
"20230818_08_408.zip-381826H0.804","89"
"20230814_23_408.zip-381436H0.807","601"
"20230818_07_408.zip-381804H0.814","1068"
"20230818_18_408.zip-381896H0.808","50"
"20230818_20_408.zip-381881H0.801","41"
"20230818_08_408.zip-381867H0.807","63"
"20230819_13_408.zip-381983H0.801","31"
"20230823_05_408.zip-382311H0.802","5"
"20230819_10_408.zip-381971H0.813","17"
"20230819_12_408.zip-381967H0.812","37"
"20230818_20_408.zip-381873H0.815","42"
"20230820_09_408.zip-382079H0.815","23"
"20230821_14_408.zip-382144H0.814","10"
"20230819_14_408.zip-381969H0.812","37"
"20230820_13_408.zip-382015H0.809","17"
"20230819_08_408.zip-381998H0.808","37"
"20230822_10_408.zip-382249H0.809","12"
"20230819_03_408.zip-381910H0.814","12"
"20230820_15_408.zip-382089H0.801","25"
"20230822_01_408.zip-382140H0.809","13"
"20230823_08_408.zip-382369H0.809","12"
"20230819_07_408.zip-381984H0.807","49"
"20230821_13_408.zip-382131H0.805","18"
"20230822_10_408.zip-382248H0.809","12"
"20230819_10_408.zip-381917H0.814","12"
"20230810_04_408.zip-381078H0.815","2478"
"20230811_08_408.zip-381163H0.809","531"
"20230821_20_408.zip-382196H0.813","12"
"20230823_18_408.zip-382319H0.813","10"
"20230810_08_408.zip-381022H0.816","905"
"20230811_10_408.zip-381189H0.812","3134"
"20230821_08_408.zip-382196H0.807","38"
"20230814_08_408.zip-381460H0.814","573"
"20230814_07_408.zip-381466H0.804","613"
"20230817_06_408.zip-381741H0.812","6112"
"20230818_01_408.zip-381784H0.811","614"
"20230813_13_408.zip-381332H0.801","1491"
"20230816_23_408.zip-381612H0.804","197"
"20230816_10_408.zip-381697H0.804","627"
"20230817_02_408.zip-381667H0.815","282"
"20230816_12_408.zip-381693H0.814","1947"
"20230814_22_408.zip-381476H0.804","859"
"20230817_21_408.zip-381752H0.812","773"
"20230815_22_408.zip-381584H0.814","571"
"20230812_20_408.zip-381244H0.804","851"
"20230815_13_408.zip-381548H0.815","198"
"20230812_22_408.zip-381246H0.804","797"
"20230821_01_408.zip-382025H0.809","15"
"20230818_16_408.zip-381801H0.805","44"
"20230819_02_408.zip-381867H0.813","19"
"20230820_01_408.zip-381901H0.808","9"
"20230819_04_408.zip-381911H0.814","12"
"20230824_06_408.zip-382414H0.808","7"
"20230819_06_408.zip-381924H0.806","191"
"20230819_12_408.zip-381905H0.811","44"
"20230821_08_408.zip-382130H0.809","15"
"20230819_03_408.zip-381969H0.813","17"
"20230822_19_408.zip-382256H0.809","12"
"20230820_20_408.zip-382092H0.801","24"
"20230823_07_408.zip-382314H0.810","25"
